id,detected,status,px_err,norm_err,disc_used,laterality,laterality_gt,confidence,candidates,ms
IDRiD_001,True,DETECTED,1431.5063,0.3338,False,unknown,right,0.483,45,882.3
IDRiD_002,True,DETECTED,682.0513,0.1591,True,left,left,0.531,113,1769.7
IDRiD_003,True,DETECTED,100.4555,0.0234,True,right,right,0.537,112,1700.2
IDRiD_004,True,DETECTED,111.3115,0.026,True,left,left,0.555,111,1687.7
IDRiD_005,True,DETECTED,81.4785,0.019,True,left,left,0.588,111,1677.9
IDRiD_006,True,DETECTED,1898.0631,0.4426,False,unknown,left,0.49,45,688.5
IDRiD_007,True,DETECTED,234.6376,0.0547,True,right,right,0.524,113,1696.5
IDRiD_008,True,DETECTED,103.7909,0.0242,True,right,right,0.534,111,1642.6
IDRiD_009,True,DETECTED,147.1965,0.0343,True,left,left,0.544,113,1665.6
IDRiD_010,True,DETECTED,1121.8506,0.2616,False,unknown,left,0.528,45,703.7
IDRiD_011,True,DETECTED,1406.0236,0.3279,False,unknown,right,0.476,45,754.2
IDRiD_012,True,DETECTED,82.3581,0.0192,True,right,right,0.548,113,1682.5
IDRiD_013,True,DETECTED,62.9667,0.0147,True,right,right,0.536,112,1688.0
IDRiD_014,True,DETECTED,721.8388,0.1683,True,left,right,0.498,113,1708.4
IDRiD_015,True,DETECTED,225.4231,0.0526,True,right,left,0.462,111,1669.5
IDRiD_016,True,DETECTED,24.9948,0.0058,True,left,left,0.54,113,1678.4
IDRiD_017,True,DETECTED,377.6767,0.0881,True,left,left,0.569,113,1707.7
IDRiD_018,True,DETECTED,45.2975,0.0106,True,right,right,0.833,113,1663.4
IDRiD_019,True,DETECTED,204.7844,0.0478,True,left,right,0.547,111,1667.8
IDRiD_020,True,DETECTED,1146.5833,0.2674,True,left,left,0.566,91,1397.7
IDRiD_021,True,DETECTED,509.6829,0.1189,True,unknown,right,0.54,226,3154.6
IDRiD_022,True,DETECTED,463.3743,0.1081,True,left,left,0.561,111,1655.5
IDRiD_023,True,DETECTED,214.4357,0.05,True,right,right,0.544,112,1726.2
IDRiD_024,True,DETECTED,94.1013,0.0219,True,right,right,0.497,112,1713.8
IDRiD_025,True,DETECTED,56.8909,0.0133,True,left,left,0.53,113,1765.1
IDRiD_026,True,DETECTED,204.3392,0.0477,True,right,right,0.527,113,1778.7
IDRiD_027,True,DETECTED,374.459,0.0873,False,unknown,left,0.45,45,756.1
IDRiD_028,True,DETECTED,18.6142,0.0043,True,left,left,0.588,112,1729.8
IDRiD_029,True,DETECTED,94.7986,0.0221,True,right,right,0.512,112,1729.0
IDRiD_030,True,DETECTED,370.5188,0.0864,True,right,right,0.523,112,1680.9
IDRiD_031,True,DETECTED,106.7877,0.0249,True,right,right,0.552,112,1756.7
IDRiD_032,True,DETECTED,58.5452,0.0137,True,left,left,0.582,113,1716.8
IDRiD_033,True,DETECTED,292.0532,0.0681,True,right,right,0.579,112,1804.8
IDRiD_034,True,DETECTED,275.7088,0.0643,True,right,right,0.507,112,1797.5
IDRiD_035,True,DETECTED,107.4067,0.025,True,left,left,0.557,113,1713.3
IDRiD_036,True,DETECTED,217.6129,0.0507,True,left,left,0.549,112,1733.9
IDRiD_037,True,DETECTED,257.3543,0.06,True,left,left,0.517,113,1739.4
IDRiD_038,True,DETECTED,53.2905,0.0124,True,right,right,0.544,113,1894.8
IDRiD_039,True,DETECTED,100.5296,0.0234,True,left,left,0.568,113,1854.1
IDRiD_040,True,DETECTED,17.3589,0.004,True,left,left,0.554,113,1763.8
IDRiD_041,True,DETECTED,81.8502,0.0191,True,right,right,0.529,113,1783.7
IDRiD_042,True,DETECTED,523.3691,0.1221,True,left,left,0.542,110,1733.7
IDRiD_043,True,DETECTED,70.9948,0.0166,True,left,left,0.561,111,1618.5
IDRiD_044,True,DETECTED,380.3693,0.0887,True,right,right,0.519,112,1632.2
IDRiD_045,True,DETECTED,87.4931,0.0204,True,right,right,0.524,112,1633.1
