image_id,ground_truth,predicted_grade,raw_confidence,split,probability_0,probability_1,probability_2,probability_3,probability_4
a3706ce27869,2,0,0.8165,test,0.8165,0.0101,0.0498,0.0675,0.0562
94a67ec0714f,2,2,0.4142,test,0.0003,0.0145,0.4142,0.2634,0.3077
04ac765f91a1,1,4,0.3002,test,0.0503,0.2982,0.2425,0.1087,0.3002
8ff2733f6aef,2,2,0.5112,test,0.0095,0.1305,0.5112,0.1567,0.1921
0da321efbce6,0,0,0.807,test,0.807,0.0294,0.075,0.0565,0.0321
e067b06fd655,0,0,0.8924,test,0.8924,0.0262,0.0392,0.0082,0.034
09f6ab477654,2,2,0.5885,test,0.0076,0.0391,0.5885,0.1588,0.2059
ae57c8630249,0,0,0.8129,test,0.8129,0.0222,0.0507,0.0304,0.0838
576e189d23d4,4,3,0.5838,test,0.0385,0.0081,0.1981,0.5838,0.1714
70d0392397de,0,0,0.6066,test,0.6066,0.1199,0.1819,0.0186,0.073
bc73ce76ec43,1,0,0.8984,test,0.8984,0.0175,0.0541,0.0122,0.0179
68ddb15a74de,0,0,0.9833,test,0.9833,0.0038,0.0081,0.0023,0.0026
3a1ecf5e2839,4,4,0.4168,test,0.0092,0.0924,0.2127,0.2689,0.4168
e65f94ad9be3,2,2,0.3925,test,0.0234,0.0316,0.3925,0.2723,0.2801
0a61bddab956,1,2,0.3211,test,0.077,0.247,0.3211,0.0877,0.2672
2665f72e2dd3,3,4,0.7528,test,0.0078,0.0071,0.1232,0.1091,0.7528
eda29a9d78f3,0,0,0.9859,test,0.9859,0.0043,0.0065,0.0014,0.0019
f580566e27f5,0,0,0.6575,test,0.6575,0.0153,0.2385,0.0756,0.013
b033ab4fb723,2,3,0.4626,test,0.0072,0.0258,0.1573,0.4626,0.3472
e68746d426b2,0,0,0.8454,test,0.8454,0.0508,0.0624,0.0222,0.0192
328d141ed3aa,0,0,0.9938,test,0.9938,0.0013,0.0024,0.0005,0.0019
54dc6e8107cd,2,4,0.4376,test,0.0092,0.0382,0.3748,0.1402,0.4376
1c3a6b4449e9,1,1,0.3853,test,0.1321,0.3853,0.2324,0.0808,0.1694
9e5ec293267c,2,3,0.4623,test,0.0009,0.0052,0.2901,0.4623,0.2415
ebf4b22240f4,0,0,0.9521,test,0.9521,0.0143,0.0203,0.0047,0.0087
a45c30da0c72,0,0,0.9306,test,0.9306,0.0137,0.0348,0.0129,0.008
55eac26bd383,1,1,0.3681,test,0.0259,0.3681,0.1672,0.1388,0.3
d6283ded6aea,2,2,0.4093,test,0.0037,0.0239,0.4093,0.2584,0.3046
e1b8acb1cea1,0,0,0.9493,test,0.9493,0.0074,0.0271,0.0104,0.0057
ae8472f8d310,1,4,0.3912,test,0.1123,0.168,0.2153,0.1132,0.3912
b3819a805dca,4,4,0.9325,test,0.0015,0.0011,0.0218,0.0431,0.9325
8fd7ad26e691,4,3,0.4572,test,0.0039,0.0153,0.3256,0.4572,0.1981
1e8a1fdee5b9,1,2,0.3946,test,0.0917,0.2081,0.3946,0.0761,0.2295
281d7b7c7676,4,3,0.4234,test,0.0111,0.0158,0.1959,0.4234,0.3538
3730c322d35b,0,0,0.9006,test,0.9006,0.0277,0.0222,0.0079,0.0417
a62ea0043aa7,2,2,0.3488,test,0.004,0.0239,0.3488,0.3036,0.3197
f920ccd926db,2,2,0.3539,test,0.0751,0.0337,0.3539,0.222,0.3153
f233638e0e90,0,0,0.9252,test,0.9252,0.0141,0.0211,0.0245,0.0151
3fa4f4d77177,3,3,0.68,test,0.0017,0.015,0.1232,0.68,0.18
417f408ee8e0,2,2,0.7031,test,0.096,0.0382,0.7031,0.104,0.0588
5a03fe3ed15c,2,3,0.4747,test,0.0003,0.0058,0.1867,0.4747,0.3326
bacfb1029f6b,1,3,0.4165,test,0.0027,0.0593,0.2718,0.4165,0.2496
ee74c3b177e0,2,3,0.3453,test,0.0016,0.0095,0.3101,0.3453,0.3334
2a3a1ed1c285,2,2,0.3411,test,0.1351,0.045,0.3411,0.2266,0.2523
aafb0c944f14,0,0,0.982,test,0.982,0.0044,0.0067,0.0038,0.0031
200d947f75db,1,0,0.789,test,0.789,0.0731,0.0977,0.0129,0.0273
