id,lesion,status,candidates,precision,recall,f1,iou,object_recall,object_precision,gt_missing
IDRiD_55,microaneurysm,DETECTED,129,0.0162,0.0203,0.018,0.0091,0.0606,0.0155,False
IDRiD_55,hemorrhage,DETECTED,13,0.1792,0.0127,0.0236,0.012,0.1,0.0769,False
IDRiD_55,hard_exudate,DETECTED,104,0.8678,0.1527,0.2598,0.1493,0.1598,0.8077,False
IDRiD_55,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_56,microaneurysm,DETECTED,97,0.0514,0.0374,0.0433,0.0221,0.1429,0.0412,False
IDRiD_56,hemorrhage,DETECTED,17,0.3645,0.0236,0.0444,0.0227,0.0476,0.3529,False
IDRiD_56,hard_exudate,DETECTED,83,0.1225,0.52,0.1983,0.1101,0.5517,0.1446,False
IDRiD_56,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_57,microaneurysm,DETECTED,71,0.014,0.0305,0.0192,0.0097,0.1,0.0141,False
IDRiD_57,hemorrhage,DETECTED,52,0.0311,0.1431,0.0511,0.0262,0.25,0.0192,False
IDRiD_57,hard_exudate,DETECTED,1,1.0,0.0092,0.0183,0.0092,0.0,1.0,False
IDRiD_57,soft_exudate,DETECTED,14,0.0,0.0,0.0,0.0,0.0,0.0,True
IDRiD_58,microaneurysm,DETECTED,105,0.083,0.0848,0.0839,0.0438,0.3182,0.0667,False
IDRiD_58,hemorrhage,DETECTED,21,0.0681,0.0083,0.0148,0.0075,0.0,0.1429,False
IDRiD_58,hard_exudate,DETECTED,20,0.334,0.1284,0.1854,0.1022,0.129,0.4,False
IDRiD_58,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,1.0,1.0,True
IDRiD_59,microaneurysm,DETECTED,71,0.0401,0.0195,0.0262,0.0133,0.0909,0.0423,False
IDRiD_59,hemorrhage,DETECTED,17,0.4952,0.164,0.2464,0.1405,0.0625,0.1176,False
IDRiD_59,hard_exudate,DETECTED,32,0.3578,0.2748,0.3109,0.184,0.157,0.5312,False
IDRiD_59,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_60,microaneurysm,DETECTED,110,0.163,0.1443,0.1531,0.0829,0.3824,0.1273,False
IDRiD_60,hemorrhage,DETECTED,14,0.5064,0.3163,0.3894,0.2418,0.2667,0.2143,False
IDRiD_60,hard_exudate,DETECTED,43,0.0573,0.0993,0.0727,0.0377,0.0632,0.2326,False
IDRiD_60,soft_exudate,DETECTED,6,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_61,microaneurysm,DETECTED,69,0.0637,0.0169,0.0267,0.0135,0.069,0.0725,False
IDRiD_61,hemorrhage,DETECTED,35,0.9141,0.0416,0.0795,0.0414,0.1154,0.7714,False
IDRiD_61,hard_exudate,DETECTED,71,0.0916,0.2161,0.1287,0.0688,0.1746,0.1549,False
IDRiD_61,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_62,microaneurysm,DETECTED,54,0.0982,0.1327,0.1129,0.0598,0.3636,0.0741,False
IDRiD_62,hemorrhage,DETECTED,13,0.231,0.1614,0.19,0.105,0.0,0.1538,False
IDRiD_62,hard_exudate,DETECTED,27,0.159,0.0977,0.121,0.0644,0.0441,0.2222,False
IDRiD_62,soft_exudate,DETECTED,3,0.0,0.0,0.0,0.0,0.0,0.0,True
IDRiD_63,microaneurysm,DETECTED,75,0.0134,0.0331,0.0191,0.0097,0.0,0.0133,False
IDRiD_63,hemorrhage,DETECTED,16,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_63,hard_exudate,DETECTED,22,0.1828,0.0389,0.0642,0.0331,0.0556,0.2273,False
IDRiD_63,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,1.0,1.0,True
IDRiD_64,microaneurysm,DETECTED,100,0.1165,0.0701,0.0875,0.0458,0.175,0.08,False
IDRiD_64,hemorrhage,DETECTED,12,0.1694,0.0349,0.0579,0.0298,0.0,0.1667,False
IDRiD_64,hard_exudate,DETECTED,57,0.431,0.4598,0.4449,0.2861,0.1615,0.4035,False
IDRiD_64,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_65,microaneurysm,DETECTED,36,0.3302,0.0582,0.099,0.0521,0.1045,0.3056,False
IDRiD_65,hemorrhage,DETECTED,4,0.4724,0.0226,0.0431,0.022,0.0,0.25,False
IDRiD_65,hard_exudate,DETECTED,66,0.2323,0.1575,0.1877,0.1036,0.1393,0.2879,False
IDRiD_65,soft_exudate,DETECTED,67,0.0,0.0,0.0,0.0,0.0,0.0,True
IDRiD_66,microaneurysm,DETECTED,166,0.0623,0.1018,0.0773,0.0402,0.2041,0.0602,False
IDRiD_66,hemorrhage,DETECTED,42,0.0167,0.0239,0.0197,0.0099,0.125,0.0238,False
IDRiD_66,hard_exudate,DETECTED,66,0.8637,0.056,0.1052,0.0555,0.0568,0.8485,False
IDRiD_66,soft_exudate,DETECTED,54,0.0,0.0,0.0,0.0,0.0,0.0,True
IDRiD_67,microaneurysm,DETECTED,118,0.0889,0.0565,0.0691,0.0358,0.2,0.0763,False
IDRiD_67,hemorrhage,DETECTED,25,0.8042,0.1335,0.229,0.1293,0.1351,0.64,False
IDRiD_67,hard_exudate,DETECTED,30,0.3102,0.3541,0.3307,0.1981,0.2,0.3333,False
IDRiD_67,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_68,microaneurysm,DETECTED,59,0.0239,0.0128,0.0166,0.0084,0.1333,0.0339,False
IDRiD_68,hemorrhage,DETECTED,31,0.4332,0.0448,0.0812,0.0423,0.0345,0.129,False
IDRiD_68,hard_exudate,DETECTED,48,0.1694,0.6428,0.2682,0.1549,0.5714,0.1667,False
IDRiD_68,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_69,microaneurysm,DETECTED,141,0.096,0.0973,0.0967,0.0508,0.186,0.0993,False
IDRiD_69,hemorrhage,DETECTED,25,0.6122,0.0726,0.1298,0.0694,0.0588,0.44,False
IDRiD_69,hard_exudate,DETECTED,72,0.2224,0.2007,0.211,0.118,0.2031,0.2222,False
IDRiD_69,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,1.0,1.0,True
IDRiD_70,microaneurysm,DETECTED,65,0.0577,0.033,0.042,0.0214,0.1176,0.0462,False
IDRiD_70,hemorrhage,DETECTED,14,0.8072,0.1898,0.3074,0.1816,0.0909,0.2143,False
IDRiD_70,hard_exudate,DETECTED,23,0.2799,0.0774,0.1212,0.0645,0.1,0.1739,False
IDRiD_70,soft_exudate,DETECTED,48,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_71,microaneurysm,DETECTED,136,0.0797,0.0447,0.0573,0.0295,0.1017,0.0735,False
IDRiD_71,hemorrhage,DETECTED,12,0.2926,0.0415,0.0727,0.0377,0.0,0.1667,False
IDRiD_71,hard_exudate,DETECTED,65,0.7005,0.2566,0.3757,0.2313,0.0763,0.6308,False
IDRiD_71,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_72,microaneurysm,DETECTED,105,0.0899,0.104,0.0965,0.0507,0.1316,0.0667,False
IDRiD_72,hemorrhage,DETECTED,9,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_72,hard_exudate,DETECTED,79,0.7281,0.439,0.5478,0.3772,0.1476,0.4684,False
IDRiD_72,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_73,microaneurysm,DETECTED,57,0.2109,0.091,0.1272,0.0679,0.3226,0.193,False
IDRiD_73,hemorrhage,DETECTED,9,0.4462,0.142,0.2155,0.1207,0.125,0.1111,False
IDRiD_73,hard_exudate,DETECTED,31,0.011,0.0251,0.0153,0.0077,0.05,0.0323,False
IDRiD_73,soft_exudate,DETECTED,26,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_74,microaneurysm,DETECTED,76,0.2951,0.0977,0.1468,0.0792,0.2468,0.2632,False
IDRiD_74,hemorrhage,DETECTED,14,0.2376,0.0154,0.029,0.0147,0.0,0.2857,False
IDRiD_74,hard_exudate,DETECTED,108,0.1243,0.495,0.1987,0.1103,0.2478,0.1852,False
IDRiD_74,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_75,microaneurysm,DETECTED,108,0.2628,0.0843,0.1277,0.0682,0.25,0.2407,False
IDRiD_75,hemorrhage,DETECTED,26,0.1344,0.0283,0.0468,0.024,0.0,0.2692,False
IDRiD_75,hard_exudate,DETECTED,26,0.1605,0.1122,0.1321,0.0707,0.0615,0.1538,False
IDRiD_75,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_76,microaneurysm,DETECTED,81,0.2555,0.0665,0.1055,0.0557,0.1867,0.1975,False
IDRiD_76,hemorrhage,DETECTED,9,0.3077,0.0134,0.0257,0.013,0.0,0.2222,False
IDRiD_76,hard_exudate,DETECTED,34,0.4018,0.1824,0.2509,0.1434,0.0515,0.1765,False
IDRiD_76,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,1.0,1.0,True
IDRiD_77,microaneurysm,DETECTED,71,0.1716,0.0737,0.1031,0.0544,0.1846,0.169,False
IDRiD_77,hemorrhage,DETECTED,8,0.0756,0.0076,0.0138,0.007,0.0,0.125,False
IDRiD_77,hard_exudate,DETECTED,22,0.6228,0.1389,0.2271,0.1281,0.0177,0.4091,False
IDRiD_77,soft_exudate,DETECTED,36,0.0,0.0,0.0,0.0,0.0,0.0,True
IDRiD_78,microaneurysm,DETECTED,85,0.1448,0.0732,0.0973,0.0511,0.1754,0.1529,False
IDRiD_78,hemorrhage,DETECTED,15,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_78,hard_exudate,DETECTED,68,0.3294,0.1579,0.2134,0.1195,0.1297,0.3382,False
IDRiD_78,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,1.0,1.0,True
IDRiD_79,microaneurysm,DETECTED,170,0.0427,0.0282,0.034,0.0173,0.0886,0.0412,False
IDRiD_79,hemorrhage,DETECTED,15,0.4948,0.0698,0.1223,0.0651,0.0323,0.4667,False
IDRiD_79,hard_exudate,DETECTED,108,0.69,0.2878,0.4062,0.2549,0.1239,0.5741,False
IDRiD_79,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,1.0,1.0,True
IDRiD_80,microaneurysm,DETECTED,79,0.0468,0.3672,0.083,0.0433,0.5,0.038,False
IDRiD_80,hemorrhage,DETECTED,8,0.6364,0.3576,0.4579,0.2969,1.0,0.125,False
IDRiD_80,hard_exudate,DETECTED,32,0.0,0.0,0.0,0.0,0.0,0.0,False
IDRiD_80,soft_exudate,NOT_DETECTED,0,0.0,0.0,0.0,0.0,1.0,1.0,True
IDRiD_81,microaneurysm,DETECTED,45,0.0484,0.0162,0.0243,0.0123,0.0213,0.0889,False
IDRiD_81,hemorrhage,DETECTED,49,0.015,0.0132,0.014,0.0071,0.0769,0.0408,False
IDRiD_81,hard_exudate,DETECTED,16,0.9768,0.0482,0.092,0.0482,0.0267,0.9375,False
IDRiD_81,soft_exudate,DETECTED,59,0.0,0.0,0.0,0.0,0.0,0.0,True
