id,detected,status,center_error_px,normalized_error,bbox_iou,confidence,candidates,gt_diameter,ms
drishtiGS_001,False,NOT_DETECTED,,,,0.0,0,469.7,42.4
drishtiGS_003,True,DETECTED,11.3719,0.0305,0.8733,0.668,1,372.8,218.0
drishtiGS_005,True,DETECTED,26.0849,0.0522,0.4847,0.749,1,499.4,188.3
drishtiGS_006,True,DETECTED,34.9368,0.0814,0.625,0.47,2,429.4,178.7
drishtiGS_011,True,DETECTED,9.7529,0.0286,0.8988,0.646,1,341.3,160.0
drishtiGS_014,True,DETECTED,28.3325,0.072,0.4097,0.824,1,393.3,145.2
drishtiGS_019,True,DETECTED,14.7092,0.0326,0.6004,0.733,1,451.3,134.2
drishtiGS_020,True,DETECTED,30.3798,0.0751,0.7436,0.698,1,404.3,151.3
drishtiGS_021,True,DETECTED,0.5099,0.0013,0.7522,0.592,1,378.5,158.7
drishtiGS_023,True,DETECTED,7.5644,0.0235,0.6926,0.588,3,321.9,237.5
drishtiGS_025,True,DETECTED,7.7833,0.0201,0.8261,0.75,1,386.7,104.9
drishtiGS_027,True,DETECTED,9.9644,0.0282,0.8599,0.554,1,353.1,126.8
drishtiGS_028,True,DETECTED,7.1309,0.02,0.8296,0.632,1,356.3,114.3
drishtiGS_029,True,DETECTED,0.3606,0.001,0.8483,0.632,1,375.9,163.4
drishtiGS_030,True,DETECTED,9.6104,0.0251,0.8171,0.599,1,382.9,135.0
drishtiGS_034,True,DETECTED,17.0839,0.0424,0.7656,0.616,1,403.2,138.1
drishtiGS_039,True,DETECTED,18.4396,0.047,0.7889,0.64,2,392.3,195.4
drishtiGS_043,True,DETECTED,7.2111,0.0203,0.9207,0.526,1,355.4,133.8
drishtiGS_048,True,DETECTED,25.5415,0.0588,0.6441,0.64,1,434.1,139.7
drishtiGS_050,True,DETECTED,6.1717,0.0181,0.8597,0.603,1,341.8,136.4
drishtiGS_052,True,DETECTED,16.6904,0.0405,0.7224,0.69,1,411.9,133.9
drishtiGS_053,True,DETECTED,15.012,0.0376,0.7651,0.69,1,399.2,164.4
drishtiGS_054,True,DETECTED,43.1231,0.1363,0.7129,0.476,1,316.3,147.7
drishtiGS_055,True,DETECTED,11.4215,0.0345,0.9169,0.665,2,331.0,159.6
drishtiGS_056,True,LOW_CONFIDENCE,10.9882,0.0311,0.9197,0.439,1,353.6,146.8
drishtiGS_059,True,DETECTED,29.1606,0.0804,0.8056,0.52,1,362.6,152.5
drishtiGS_065,True,DETECTED,24.1814,0.0636,0.7816,0.625,1,380.1,123.0
drishtiGS_067,True,DETECTED,11.3635,0.0301,0.6579,0.676,1,377.8,128.6
drishtiGS_070,True,DETECTED,4.2579,0.0115,0.8711,0.674,1,371.1,122.6
drishtiGS_071,True,DETECTED,15.2506,0.0409,0.7988,0.659,2,373.2,173.5
drishtiGS_073,True,DETECTED,21.2615,0.0555,0.8134,0.73,1,383.0,116.7
drishtiGS_074,True,DETECTED,2.7857,0.0076,0.8897,0.688,1,367.4,137.2
drishtiGS_077,True,DETECTED,16.5895,0.0409,0.7403,0.732,1,405.5,122.0
drishtiGS_079,True,DETECTED,6.6038,0.0176,0.9198,0.742,1,375.2,125.5
drishtiGS_082,True,DETECTED,9.8082,0.0268,0.8929,0.687,1,365.3,133.7
drishtiGS_083,True,DETECTED,5.6223,0.0144,0.8045,0.781,1,390.3,130.5
drishtiGS_086,True,DETECTED,11.5603,0.0282,0.7409,0.719,1,410.0,128.3
drishtiGS_087,True,DETECTED,3.7202,0.0104,0.9288,0.697,1,358.3,131.2
drishtiGS_007,True,DETECTED,21.5641,0.0489,0.682,0.751,1,441.1,116.8
drishtiGS_009,True,DETECTED,9.5383,0.0257,0.7879,0.592,1,371.2,131.2
drishtiGS_013,True,DETECTED,34.752,0.0884,0.7463,0.638,1,393.1,95.8
drishtiGS_072,True,DETECTED,7.9762,0.0216,0.8943,0.513,1,369.0,122.9
drishtiGS_078,True,DETECTED,0.7616,0.0021,0.8991,0.697,1,368.2,126.8
drishtiGS_085,True,DETECTED,10.9041,0.0277,0.7825,0.712,1,393.3,140.8
drishtiGS_091,True,DETECTED,7.0661,0.0211,0.9454,0.687,1,334.4,130.2
drishtiGS_093,True,DETECTED,17.1732,0.0446,0.7474,0.595,2,385.4,172.0
drishtiGS_095,True,DETECTED,20.8856,0.0613,0.849,0.638,1,340.7,133.9
drishtiGS_096,True,DETECTED,11.4691,0.0332,0.9118,0.475,1,345.2,186.4
drishtiGS_097,True,DETECTED,2.3,0.0055,0.7548,0.7,1,420.9,132.9
drishtiGS_099,True,DETECTED,10.6513,0.0259,0.7383,0.651,1,411.0,143.8
drishtiGS_100,True,DETECTED,25.9665,0.0726,0.8383,0.503,1,357.9,139.2
