id,sensitivity,specificity,precision,f1,dice,iou,accuracy,density,ms
21,0.7075,0.9827,0.8338,0.7655,0.7655,0.6201,0.9526,0.0927,33.3
22,0.6242,0.987,0.8781,0.7297,0.7297,0.5745,0.9395,0.093,29.2
23,0.5914,0.9535,0.5722,0.5817,0.5817,0.4101,0.919,0.0984,31.6
24,0.5807,0.9922,0.9376,0.7172,0.7172,0.5591,0.9231,0.1039,25.1
25,0.5534,0.9885,0.886,0.6813,0.6813,0.5166,0.9279,0.087,29.3
26,0.6336,0.978,0.8003,0.7073,0.7073,0.5471,0.9359,0.0967,28.6
27,0.6307,0.986,0.868,0.7306,0.7306,0.5755,0.9406,0.0927,27.8
28,0.6235,0.9862,0.8819,0.7305,0.7305,0.5754,0.9348,0.1002,28.1
29,0.6756,0.9819,0.838,0.7481,0.7481,0.5976,0.9445,0.0984,27.5
30,0.6122,0.9842,0.8323,0.7055,0.7055,0.545,0.9418,0.0837,27.9
31,0.686,0.9687,0.6774,0.6817,0.6817,0.5171,0.944,0.0885,28.3
32,0.6997,0.9833,0.8506,0.7678,0.7678,0.6231,0.9493,0.0986,27.6
33,0.6913,0.9857,0.8654,0.7686,0.7686,0.6242,0.9512,0.0936,27.5
34,0.4758,0.9752,0.7612,0.5856,0.5856,0.414,0.904,0.0891,29.7
35,0.6814,0.9839,0.8587,0.7599,0.7599,0.6127,0.9459,0.0997,28.2
36,0.5571,0.9904,0.9155,0.6927,0.6927,0.5299,0.9219,0.0961,25.8
37,0.6296,0.9761,0.7927,0.7018,0.7018,0.5406,0.9321,0.1008,26.4
38,0.6607,0.979,0.8192,0.7315,0.7315,0.5766,0.9389,0.1015,27.0
39,0.6277,0.9817,0.8303,0.7149,0.7149,0.5564,0.9376,0.0942,27.3
40,0.719,0.9791,0.8096,0.7616,0.7616,0.615,0.9504,0.0978,30.1
